trait	index
MT	0
chr10p11	1
chr10p12	2
chr10p13	3
chr10p14	4
chr10p15	5
chr10q11	6
chr10q21	7
chr10q22	8
chr10q23	9
chr10q24	10
chr10q25	11
chr10q26	12
chr11p11	13
chr11p12	14
chr11p13	15
chr11p14	16
chr11p15	17
chr11q11	18
chr11q12	19
chr11q13	20
chr11q14	21
chr11q21	22
chr11q22	23
chr11q23	24
chr11q24	25
chr11q25	26
chr12p11	27
chr12p12	28
chr12p13	29
chr12q12	30
chr12q13	31
chr12q14	32
chr12q15	33
chr12q21	34
chr12q22	35
chr12q23	36
chr12q24	37
chr13q11	38
chr13q12	39
chr13q13	40
chr13q14	41
chr13q21	42
chr13q22	43
chr13q31	44
chr13q32	45
chr13q33	46
chr13q34	47
chr14q11	48
chr14q12	49
chr14q13	50
chr14q21	51
chr14q22	52
chr14q23	53
chr14q24	54
chr14q31	55
chr14q32	56
chr15q11	57
chr15q12	58
chr15q13	59
chr15q14	60
chr15q15	61
chr15q21	62
chr15q22	63
chr15q23	64
chr15q24	65
chr15q25	66
chr15q26	67
chr16p11	68
chr16p12	69
chr16p13	70
chr16q11	71
chr16q12	72
chr16q13	73
chr16q21	74
chr16q22	75
chr16q23	76
chr16q24	77
chr17p11	78
chr17p12	79
chr17p13	80
chr17q11	81
chr17q12	82
chr17q21	83
chr17q22	84
chr17q23	85
chr17q24	86
chr17q25	87
chr18p11	88
chr18q11	89
chr18q12	90
chr18q21	91
chr18q22	92
chr18q23	93
chr19p12	94
chr19p13	95
chr19q12	96
chr19q13	97
chr1p11	98
chr1p12	99
chr1p13	100
chr1p21	101
chr1p22	102
chr1p31	103
chr1p32	104
chr1p33	105
chr1p34	106
chr1p35	107
chr1p36	108
chr1q21	109
chr1q22	110
chr1q23	111
chr1q24	112
chr1q25	113
chr1q31	114
chr1q32	115
chr1q41	116
chr1q42	117
chr1q43	118
chr1q44	119
chr20p11	120
chr20p12	121
chr20p13	122
chr20q11	123
chr20q12	124
chr20q13	125
chr21p11	126
chr21p12	127
chr21q11	128
chr21q21	129
chr21q22	130
chr22q11	131
chr22q12	132
chr22q13	133
chr2p11	134
chr2p12	135
chr2p13	136
chr2p14	137
chr2p15	138
chr2p16	139
chr2p21	140
chr2p22	141
chr2p23	142
chr2p24	143
chr2p25	144
chr2q11	145
chr2q12	146
chr2q13	147
chr2q14	148
chr2q21	149
chr2q22	150
chr2q23	151
chr2q24	152
chr2q31	153
chr2q32	154
chr2q33	155
chr2q34	156
chr2q35	157
chr2q36	158
chr2q37	159
chr3p11	160
chr3p12	161
chr3p13	162
chr3p14	163
chr3p21	164
chr3p22	165
chr3p23	166
chr3p24	167
chr3p25	168
chr3p26	169
chr3q11	170
chr3q12	171
chr3q13	172
chr3q21	173
chr3q22	174
chr3q23	175
chr3q24	176
chr3q25	177
chr3q26	178
chr3q27	179
chr3q28	180
chr3q29	181
chr4p11	182
chr4p12	183
chr4p13	184
chr4p14	185
chr4p15	186
chr4p16	187
chr4q12	188
chr4q13	189
chr4q21	190
chr4q22	191
chr4q23	192
chr4q24	193
chr4q25	194
chr4q26	195
chr4q27	196
chr4q28	197
chr4q31	198
chr4q32	199
chr4q33	200
chr4q34	201
chr4q35	202
chr5p12	203
chr5p13	204
chr5p14	205
chr5p15	206
chr5q11	207
chr5q12	208
chr5q13	209
chr5q14	210
chr5q15	211
chr5q21	212
chr5q22	213
chr5q23	214
chr5q31	215
chr5q32	216
chr5q33	217
chr5q34	218
chr5q35	219
chr6p11	220
chr6p12	221
chr6p21	222
chr6p22	223
chr6p23	224
chr6p24	225
chr6p25	226
chr6q11	227
chr6q12	228
chr6q13	229
chr6q14	230
chr6q15	231
chr6q16	232
chr6q21	233
chr6q22	234
chr6q23	235
chr6q24	236
chr6q25	237
chr6q26	238
chr6q27	239
chr7p11	240
chr7p12	241
chr7p13	242
chr7p14	243
chr7p15	244
chr7p21	245
chr7p22	246
chr7q11	247
chr7q21	248
chr7q22	249
chr7q31	250
chr7q32	251
chr7q33	252
chr7q34	253
chr7q35	254
chr7q36	255
chr8p11	256
chr8p12	257
chr8p21	258
chr8p22	259
chr8p23	260
chr8q11	261
chr8q12	262
chr8q13	263
chr8q21	264
chr8q22	265
chr8q23	266
chr8q24	267
chr9p11	268
chr9p12	269
chr9p13	270
chr9p21	271
chr9p22	272
chr9p23	273
chr9p24	274
chr9q12	275
chr9q13	276
chr9q21	277
chr9q22	278
chr9q31	279
chr9q32	280
chr9q33	281
chr9q34	282
chrXp11	283
chrXp21	284
chrXp22	285
chrXq11	286
chrXq12	287
chrXq13	288
chrXq21	289
chrXq22	290
chrXq23	291
chrXq24	292
chrXq25	293
chrXq26	294
chrXq27	295
chrXq28	296
chrYp11	297
chrYq11	298
