Probe_ID	bitset_0
cg00002028_TC11	562949953421312
cg00004072_TC21	17592188174336
cg00004667_TC21	35184372088832
cg00005817_TC21	1073741824
cg00007987_TC11	134217728
cg00009001_BC21	4096
cg00009421_BC21	128
cg00009922_BC21	8193
cg00010046_BC21	272
cg00010789_TC21	131072
cg00010946_BC21	140737622573056
cg00011459_TC21	262144
cg00011854_BC11	100663296
cg00012109_BC11	100663296
cg00012110_TC11	100663296
cg00012194_BC11	77309411328
cg00012362_BC21	1536
cg00012362_BC22	1536
cg00012795_BC11	8590196736
cg00013530_TC21	1040
cg00013655_BC11	1048576
cg00013691_TC21	8590196736
cg00014078_BC21	8590196736
cg00014104_BC21	1649267441664
cg00014176_TC21	67764224
cg00016576_TC21	549755813888
cg00019495_TC21	4194304
cg00020991_TC21	268435456
cg00022059_TC21	1073741825
cg00022235_BC21	17592320262144
cg00022688_BC21	274877972608
cg00023288_BC21	34896609280
cg00026033_BC11	4194304
cg00027083_BC11	268435456
cg00028013_BC21	8192
cg00028056_TC21	262144
cg00028929_TC21	134217728
cg00029397_TC21	2097152
cg00029812_TC21	1073741825
cg00030047_BC21	2147483648
cg00030816_BC21	2048
cg00031165_TC11	141012638892032
cg00032366_TC21	562949953421312
cg00032805_BC21	67108864
cg00033516_TC21	1048576
cg00034101_BC11	17179869184
cg00036258_BC21	8589950976
cg00036534_BC11	34359738368
cg00036871_BC11	2097152
cg00038446_TC21	549755813954
cg00040761_TC21	4096
cg00041666_TC11	70368744177664
cg00042419_TC21	1048576
cg00043265_TC21	1048576
cg00043800_BC21	35184372088832
cg00045592_TC21	67108864
cg00046913_BC11	1048576
cg00048759_TC11	134217728
cg00049440_BC21	17592186044416
cg00049892_BC21	4194304
cg00050312_BC21	70385926144000
cg00051200_TC11	32
cg00054822_TC21	8796093022208
cg00054824_TC21	8796093022208
cg00054827_BC21	8796093022208
cg00054868_TC11	8796093022208
cg00055023_BC21	8796093022208
cg00055025_BC11	8796093022208
cg00055053_TC11	8796093022208
cg00055090_TC11	8796093022208
cg00055091_BC11	8796093022208
cg00055103_BC21	8796093022208
cg00055158_TC11	8796093022208
cg00055633_TC21	8796093022208
cg00055779_TC21	8796093022208
cg00055795_BC21	8796093022208
cg00055823_TC21	8796093022208
cg00055990_BC11	8796093022208
cg00056012_BC11	8796093022208
cg00056325_BC21	536870912
cg00056569_BC11	8796093022208
cg00056579_BC11	8796093022208
cg00056654_BC11	8796093022208
cg00056723_TC11	8796093022208
cg00056765_BC21	8796093022208
cg00056768_BC21	8796093022208
cg00056770_TC21	8796093022208
cg00056954_TC21	8796093022208
cg00056957_TC11	8796093022208
cg00056958_BC21	8796093022208
cg00058290_BC21	71303170
cg00059424_TC21	4294967296
cg00059879_BC21	262144
cg00059930_TC21	77309411328
cg00060126_BC21	1099511627776
cg00060214_TC21	1099511627776
cg00060421_BC21	1099511627776
cg00060880_BC21	68719476736
cg00061185_BC21	16
cg00061764_TC21	65536
cg00062151_TC21	4398046511104
cg00063945_TC21	26388279066624
cg00064020_BC21	1649267441664
cg00066182_TC21	1099511627776
cg00066627_BC21	137438953472
cg00066751_TC21	1048576
cg00066854_BC21	1
cg00068519_BC21	16
cg00069261_BC21	1048576
cg00069417_BC21	35185446010880
cg00070052_TC21	140739635838976
cg00070678_BC11	100664320
cg00070944_TC21	100663296
cg00071250_TC21	549755813954
cg00071265_BC21	2147483648
cg00071727_TC21	536920064
cg00074379_BC21	8650752
cg00076365_BC21	2097152
cg00077017_TC11	536920064
cg00078867_BC21	1026
cg00079898_TC21	33554432
cg00080012_TC21	4096
cg00081175_TC21	70368744243201
cg00081975_BC11	562949953421312
cg00081975_BC12	562949953421312
cg00082332_TC21	4194304
cg00083937_BC21	140737488355328
cg00085434_TC21	134217728
cg00088464_TC11	1536
cg00089453_TC21	671088640
cg00089486_BC11	140737622573056
cg00091483_TC21	4398046511104
cg00091827_TC11	9126805504
cg00092287_BC11	117440512
cg00092711_BC21	536870912
cg00093175_TC21	68719476736
cg00093900_BC11	1
cg00094401_TC21	4194304
cg00094401_TC22	4194304
cg00095214_TC21	17592454479872
cg00096065_BC21	671088640
cg00096979_BC11	558345748480
cg00098799_TC11	70368748388352
cg00100963_BC21	70368763314176
cg00101728_BC21	4194304
cg00103685_BC21	4398180728832
cg00105253_BC21	281543696187400
cg00106073_BC11	64
cg00106685_BC21	6442450944
cg00107046_TC21	563018672898048
cg00107488_TC21	562949953421312
cg00109772_BC21	140737488355328
cg00110623_TC21	17592186044416
cg00112309_TC21	1024
cg00114966_BC21	262144
cg00115288_BC21	68719476736
cg00115984_BC21	17592253153280
cg00116430_TC11	8796093022336
cg00119117_BC21	137438953472
cg00119181_TC11	1048576
cg00119197_BC21	87961014108160
cg00119197_BC22	87961014108160
cg00119687_BC21	67108864
cg00121091_BC21	8796629893120
cg00121091_BC22	8796629893120
cg00122406_TC21	524288
cg00122854_BC21	1048576
cg00122944_TC21	17592188141569
cg00123548_BC21	32
cg00125893_BC21	16384
cg00126959_BC11	562949953421312
cg00126959_BC12	562949953421312
cg00126995_TC21	4194308
cg00128812_BC21	4194304
cg00129232_TC11	140737488355328
cg00130794_BC21	134217728
cg00132598_TC21	70368744177664
cg00133069_BC11	2147483648
cg00133237_TC21	2048
cg00133752_TC21	2147483648
cg00134028_BC21	140737488355328
cg00134074_TC11	2147483648
cg00134282_BC21	2147483648
cg00134887_BC21	100663296
cg00136477_BC21	1536
cg00136547_TC21	1100048506880
cg00137063_TC11	70368744177664
cg00137066_BC11	8796097216512
cg00137216_BC21	16
cg00137918_TC21	75497474
cg00139242_TC21	49152
cg00141391_TC21	4398046511104
cg00142735_BC21	8192
cg00145863_TC11	8192
cg00145961_TC21	140737488355328
cg00147225_BC21	549755813888
cg00147801_BC21	4194304
cg00148025_BC21	16
cg00148518_BC21	8589934593
cg00151370_BC21	70643622084736
cg00151661_TC21	281569465991168
cg00152117_TC21	536870912
cg00153395_TC21	32768
cg00154587_BC21	49152
cg00155310_BC21	134217728
cg00155732_TC21	4398048608256
cg00156427_TC21	532530
cg00156948_TC21	2048
cg00156995_BC21	137438953472
cg00157853_BC11	512
cg00158683_TC11	8192
cg00159523_TC11	17179869184
cg00162361_TC21	70368744177668
cg00162643_BC21	17592253153280
cg00163372_TC11	369442370506752
cg00164317_BC11	1099511627776
cg00164318_BC21	1099511627776
cg00166600_TC21	17592207015936
cg00167041_TC21	68719476736
cg00167275_TC11	34359738368
cg00168128_BC11	2097408
cg00168144_BC11	2097408
cg00168301_BC11	268435456
cg00168459_BC21	1099511627776
cg00168694_TC21	580542139990016
cg00168981_TC11	140737488355328
cg00169184_TC21	290271069782016
cg00169856_TC21	70368748388352
cg00170307_TC21	262144
cg00170714_TC21	4096
cg00171092_TC21	8589942784
cg00171421_BC11	70368744177664
cg00172020_BC21	35185445830656
cg00172408_BC11	34359738368
cg00173435_TC11	4194304
cg00173498_TC21	4398046511104
cg00173623_TC11	268435456
cg00175150_BC21	4202496
cg00176210_BC21	1048576
cg00177431_TC21	26388279074820
cg00178984_TC11	134217728
cg00180073_BC21	32
cg00180762_BC21	1108168671233
cg00181439_BC21	134217728
cg00181497_TC21	70368744177664
cg00181731_TC21	137438953472
cg00181938_TC21	65536
cg00182267_TC21	65536
cg00182282_TC21	65536
cg00182333_TC21	65536
cg00183107_BC21	70368744177668
cg00183663_TC11	4398048608256
cg00183684_BC21	70368744177664
cg00183734_BC21	4398048608256
cg00184386_BC21	4398048608256
cg00185066_TC21	268435456
cg00185853_BC21	1048576
cg00186143_TC21	234881024
cg00187503_TC21	2199023255552
cg00188627_BC21	70377334112256
cg00188659_BC21	4
cg00188865_BC11	17592186044416
cg00189196_TC11	17592186044416
cg00189256_BC21	17592186044416
cg00189326_TC21	17592186044416
cg00189646_BC11	17592186044416
cg00189863_BC21	17592186044416
cg00189888_TC21	268436482
cg00190219_BC11	17592186044416
cg00190224_BC11	17592186044416
cg00190232_TC21	17592186044416
cg00192969_TC21	17592269932544
cg00194126_TC21	17592320262144
cg00194699_TC11	49152
cg00195322_BC21	17592186044416
cg00195784_BC21	70368744177664
cg00196272_BC11	70368744177664
cg00196474_BC21	67108864
cg00196660_TC21	77309411344
